id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
556,Opposites A-Frack,An Assemblywoman brought in by Lisa to stop Mr. Burns' fracking operation ends up falling for him as much as he does for her.    ,2014-11-02,SABF22,Matthew Nastuk,Valentina L. Garza,26,5,557,4.22,6.3,5.7,20
557,Simpsorama,"The Simpsons meet the Planet Express crew, who have come to Springfield in the present to stop them from destroying the future.    ",2014-11-09,SABF16,Bob Anderson,J. Stewart Burns,26,6,558,6.70,7.9,7.2,29
558,Blazed and Confused,"Bart tricks his family into a camping trip at a strange event known as ""Blazing Guy"" so that he can get revenge on his sadistic new fourth grade teacher.    ",2014-11-16,TABF01,Rob Oliver,Carolyn Omine & William Wright,26,7,559,6.70,6.8,6.5,18
559,Covercraft,"Homer forms a cover band with other dads in town when he takes up bass guitar to deal with a mid-life crisis, but the band's modest success is soon overwhelmed by Apu's breakout potential.    ",2014-11-23,TABF02,Steven Dean Moore,Matt Selman,26,8,560,3.45,6.4,6.7,20
560,I Won't Be Home for Christmas,Marge kicks Homer out of the house for Christmas after he consoles Moe on Christmas Eve instead of going home.    ,2014-12-07,TABF03,Mark Kirkland,Al Jean,26,9,561,6.52,6.8,6.0,18
561,The Man Who Came to Be Dinner,An amusement park ride takes the Simpsons to the home planet of Kang and Kodos.    ,2015-01-04,RABF15,David Silverman,Al Jean & David Mirkin,26,10,562,10.62,6.6,6.4,23
562,Bart's New Friend,"Homer is hypnotized into believing he's ten years old and ends up stuck in his new age when the hypnotist dies, so he bonds with Bart and refuses to take back the responsibilities of adulthood.    ",2015-01-11,TABF05,Bob Anderson,Judd Apatow,26,11,563,4.28,7.1,6.1,20
563,The Musk Who Fell to Earth,"Inventor Elon Musk comes to Springfield, and Homer inspires him with a new idea that could revolutionize Springfield, but winds up costing Mr. Burns a ton of money.    ",2015-01-25,TABF04,Matthew Nastuk,Neil Campbell,26,12,564,3.29,5.5,6.8,16
564,Walking Big & Tall,"Marge tries to get Homer to lose weight. But instead, he finds a support group that encourages him to embrace his largeness.    ",2015-02-08,TABF06,Chris Clements,Michael Price,26,13,565,2.78,6.2,6.0,17
565,My Fare Lady,"Marge gets a job as a driver for a transportation app service, while Moe is forced to work as a janitor at the nuclear plant after Homer causes the bar to go bankrupt.    ",2015-02-15,TABF07,Mike Frank Polcino,Marc Wilmore,26,14,566,2.67,6.5,6.4,16
566,The Princess Guide,Moe falls in love with a Nigerian princess whose father is working out a uranium deal with Mr. Burns.    ,2015-03-01,TABF08,Timothy Bailey,Brian Kelley,26,15,567,3.93,6.4,5.6,12
567,Sky Police,"The congregation, led by Marge, is forced to resort to gambling in order to collect money to fix the church, which Chief Wiggum destroyed with a jet pack he received by mistake.    ",2015-03-08,TABF09,Rob Oliver,Matt Selman,26,16,568,3.79,6.7,5.9,12
568,Waiting for Duffman,"After ""Duffman"" retires, Homer wins a reality competition to become his replacement. But his contract states that he cannot drink beer, which gives him a new perspective on alcohol.    ",2015-03-15,TABF10,Steven Dean Moore,John Frink,26,17,569,3.59,6.6,5.8,12
569,Peeping Mom,"Marge decides to follow Bart everywhere until he confesses to being involved in a bulldozer crash. Meanwhile, Homer ignores Santa's Little Helper when Ned gets a new dog.    ",2015-04-19,TABF11,Mark Kirkland,John Frink,26,18,570,3.23,6.6,6.0,12
570,The Kids Are All Fight,The story of Bart and Lisa's rivalry is told when Homer finds an old film strip.    ,2015-04-26,TABF12,Bob Anderson,Rob LaZebnik,26,19,571,3.33,6.7,5.8,12
571,Let's Go Fly a Coot,Bart takes up smoking e-cigarettes to impress Milhouse's cousin Annika while the rest of the family learns about Grampa's days in the Air Force.    ,2015-05-03,TABF13,Chris Clements,Jeff Westbrook,26,20,572,3.12,6.0,5.5,13
572,Bull-E,"Bart gets bullied at a school dance, so Marge gets an anti-bullying law passed, which results in Homer being put in therapy for bulling Ned.    ",2015-05-10,TABF15,Lance Kramer,Tim Long,26,21,573,2.77,6.5,6.3,13
573,Mathlete's Feat,"Groundskeeper Willie becomes the coach of the mathletes, Lisa and other kids from Springfield Elementary compete against Waverly Hills Elementary.    ",2015-05-17,TABF16,Mike Frank Polcino,Michael Price,26,22,574,2.82,6.7,6.2,12
574,Every Man's Dream,"Marge decides it's finally time to separate from Homer, and quickly moves on with her life. Homer is initially devastated, but soon stumbles into a romance with a younger woman.    ",2015-09-27,TABF14,Matthew Nastuk,J. Stewart Burns,27,1,575,3.28,5.7,5.4,21
575,Cue Detective,"A celebrity television chef challenges Homer to a barbecue cook-off. But before the competition, Homer's new, prized barbecue grill is stolen.    ",2015-10-04,TABF17,Timothy Bailey,Joel H. Cohen,27,2,576,6.02,6.5,6.2,18
576,Puffless,"Patty and Selma try to quit smoking, but Patty moves in with the Simpsons when Selma takes it up again. Meanwhile, Maggie goes on an adventure with some local creatures.    ",2015-10-11,TABF19,Rob Oliver,J. Stewart Burns,27,3,577,3.31,6.9,6.4,17
577,Halloween of Horror,"The Simpsons are proud to be the most festively decorated house on the block. But when Lisa is traumatized at Krustyland Horror Night, she feels she cannot handle Halloween anymore.    ",2015-10-18,TABF22,Mike B. Anderson,Carolyn Omine,27,4,578,3.69,7.5,6.9,17
578,Treehouse of Horror XXVI,"After killing Bart, Sideshow Bob doesn't know what to do with himself; Homer wakes up with short-term memory loss; Because of radiation, Lisa, Bart and Milhouse gain super-powers.    ",2015-10-25,TABF18,Steven Dean Moore,Joel H. Cohen,27,5,579,6.75,6.5,5.8,17
579,Friend with Benefit,"Lisa makes a new friend at school - Harper, who happens to be super-rich, while Homer makes friends with Harper's dad and sets out to continue living the good life when Lisa decides to end the friendship.    ",2015-11-08,TABF21,Matthew Faughnan,Rob LaZebnik,27,6,580,3.48,6.6,6.0,13
580,Lisa with an 'S',Broadway legend Laney Fontaine transforms Lisa into a show-biz kid after Homer loses her chance at band camp.    ,2015-11-22,TABF20,Bob Anderson,Stephanie Gillis,27,7,581,5.64,5.9,5.1,13
581,Paths of Glory,"Lisa tries to restore the reputation of a forgotten Springfield female inventor, while Bart takes full advantage of a diagnosis that he is a sociopath.    ",2015-12-06,VABF01,Steven Dean Moore,Michael Ferris,27,8,582,5.53,6.7,5.8,13
582,Barthood,"A tale of Bart's journey from youth to adulthood, where he is constantly in search of approval from his father and in the shadow of his more-successful younger sister.    ",2015-12-13,VABF02,Rob Oliver,Dan Greaney,27,9,583,5.97,8.4,7.7,15
583,The Girl Code,"When Homer loses his job due to Marge's social media post, he begins working as a dishwasher at a Greek restaurant. Meanwhile, Lisa creates an app that can predict the effect any post on social media will have.    ",2016-01-03,VABF03,Chris Clements,Rob LaZebnik,27,10,584,4.41,6.5,6.3,11
584,Teenage Mutant Milk-Caused Hurdles,"Bart and Principal Skinner battle over the affection of Bart's new teacher, and a new milk-based product that Homer buys from the Kwik-E-Mart causes big changes in Bart and Lisa.    ",2016-01-10,VABF04,Timothy Bailey,Joel H. Cohen,27,11,585,8.33,6.5,5.8,13
585,Much Apu About Something,"Apu's nephew makes big changes when he takes over the Kwik-E-Mart business, and Bart decides that he's through with being bad after his latest prank spirals out of control.    ",2016-01-17,VABF05,Bob Anderson,Michael Price,27,12,586,3.95,6.5,6.1,14
586,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,"Professor Frink's new invention turns him into a ladies' man, while a new pill at the Springfield Retirement Castle causes Grandpa to hallucinate back to his happiest moments.    ",2016-02-14,VABF07,Mark Kirkland,John Frink,27,13,587,2.89,6.3,6.1,14
587,Gal of Constant Sorrow,"Lisa tries to launch the career of a homeless Appalachian folk singer, but Bart warns her that she will just let her down. Meanwhile, Homer tries to rescue the cat, who is trapped in the walls of the house.    ",2016-02-21,VABF06,Matthew Nastuk,Carolyn Omine,27,14,588,3.10,6.4,6.1,14
588,Lisa the Veterinarian,"Lisa takes a job as veterinarian's assistant, but soon lets the responsibilities of the job get to her head. Meanwhile, Marge decides to take a job as a crime scene cleaner.    ",2016-03-06,VABF08,Steven Dean Moore,Dan Vebber,27,15,589,3.09,6.3,6.1,14
589,The Marge-ian Chronicles,"Lisa signs up for an opportunity to be part of a mission to colonize Mars in ten years, and Homer's strategy to use reverse psychology to talk her out of it backfires.    ",2016-03-13,VABF09,Chris Clements,Brian Kelley,27,16,590,3.07,7.0,6.3,15
590,The Burns Cage,"Homer tries to raise Smithers' spirits by finding him a man, and Lisa gets the lead in the school production of ""Casablanca"" alongside a new male student, sparking Millhouse's jealousy.    ",2016-04-03,VABF10,Rob Oliver,Rob LaZebnik,27,17,591,2.32,6.3,5.7,12
591,How Lisa Got Her Marge Back,"After Lisa overhears Marge say that she doesn't like Lisa's jazz music, Marge takes Lisa on a trip to Capitol City to regain her friendship. Meanwhile, Bart uses Maggie as his new partner in crime for his practical jokes.    ",2016-04-10,VABF11,Bob Anderson,Jeff Martin,27,18,592,2.55,6.2,5.8,13
592,Fland Canyon,"Maggie will not go to sleep, so Homer tells her a bedtime story about when the Simpsons and the Flanders went to the Grand Canyon together.    ",2016-04-24,VABF12,Mike Frank Polcino,J. Stewart Burns,27,19,593,2.77,7.1,5.9,11
593,To Courier with Love,"After promising Marge the trip of a lifetime, Homer makes a deal with a travel agent to be a courier of a top-secret briefcase in exchange for a discounted family vacation to Paris.    ",2016-05-08,VABF14,Timothy Bailey,Bill Odenkirk,27,20,594,2.52,6.6,6.2,14
594,Simprovised,"While trying to overcome a fear of public speaking, Homer creates an improv comedy troupe; Marge rebuilds Bart's treehouse.    ",2016-05-15,VABF13,Matthew Nastuk,John Frink,27,21,595,2.80,6.2,5.7,13
595,Orange Is the New Yellow,"Marge lets Bart go to the park alone because he's too irritating, then she ends up getting arrested for leaving him unsupervised.    ",2016-05-22,VABF15,Matthew Faughnan,Eric Horsted,27,22,596,2.54,6.6,5.9,12
596,Monty Burns' Fleeing Circus,Mr. Burns puts on a variety show at the Springfield Bowl.    ,2016-09-25,VABF20,Matthew Nastuk,Tom Gammill & Max Pross,28,1,597,3.36,6.1,5.8,19
597,Friends and Family,Homer finds a new friend in a woman who acts just like him when Mr. Burns hires the other Simpsons as his live-in virtual reality family.    ,2016-10-02,VABF18,Lance Kramer,J. Stewart Burns,28,2,598,6.00,6.6,5.4,15
598,The Town,"Homer takes the family on a ""hate-cation"" to Boston after he catches Bart rooting for a rival football team.    ",2016-10-09,VABF17,Rob Oliver,Dave King,28,3,599,3.22,7.0,5.6,15
599,Treehouse of Horror XXVII,"The children of Springfield fight to the death, Hunger Games style; Lisa's imaginary friend kills her real friends; Moe recruits Bart into his group of covert barfly agents.    ",2016-10-16,VABF16,Steven Dean Moore,Joel H. Cohen,28,4,600,7.44,6.8,5.0,16
600,Trust but Clarify,Bart and Lisa investigate Krusty's new candy; Marge helps Homer dress for a promotion; Kent Brockman struggles with the changing media world.    ,2016-10-23,VABF21,Mike Frank Polcino,Harry Shearer,28,5,601,3.36,6.3,5.8,15
601,There Will Be Buds,"Homer coaches the kids' lacrosse team with Kirk Van Houten, who disappears before the championship game, after Homer rants about him being a loser.    ",2016-11-06,VABF22,Matthew Faughnan,Matt Selman,28,6,602,3.14,6.6,6.0,14
602,Havana Wild Weekend,The Simpsons go to Cuba to get Grampa cheap medical care when the Retirement Castle and V.A. hospital are unable to solve his health problems.    ,2016-11-13,VABF19,Bob Anderson,"Deb Lacusta, Dan Castellaneta & Peter Tilden",28,7,603,7.13,6.2,5.7,12
603,Dad Behavior,"Homer discovers an app that makes his life easier, while Grampa learns that he'll be a father again.    ",2016-11-20,WABF01,Steven Dean Moore,Ryan Koh,28,8,604,2.88,6.5,6.0,14
604,The Last Traction Hero,"Homer is placed in a cast following a workplace accident, leading Marge to receive romance from an unexpected source; Lisa attempts to keep the peace as bus monitor.    ",2016-12-04,WABF03,Bob Anderson,Bill Odenkirk,28,9,605,5.77,6.3,5.6,13
605,The Nightmare After Krustmas,Krusty and his daughter spend Christmas with the Simpsons; Reverend Lovejoy seeks converts to boost attendance at church; A Christmas toy scares Maggie.    ,2016-12-11,WABF02,Rob Oliver,Jeff Westbrook,28,10,606,5.60,5.9,5.2,15
606,Pork and Burns,"A Japanese book on minimalism inspires Marge to adapt to a new way of living, so the Simpsons have to part with items that no longer bring them joy.    ",2017-01-08,WABF06,Matthew Nastuk,Rob LaZebnik,28,11,607,8.19,6.7,5.6,15
607,"The Great Phatsby"" (Vol. I & Vol. II) ","Mr Burns tries to relive his glory days, and crosses paths with a mysterious music mogul.    ",2017-01-15,WABF04,Chris Clements,Dan GreaneyMatt Selman (part 2 only),28,12,608,6.90,6.1,5.6,10
608,Fatzcarraldo,"When all the fast food restaurants in Springfield become healthy, Homer turns to the last bastion of greasy food for comfort; Lisa must find a good news story when her school radio station is in jeopardy.    ",2017-02-12,WABF07,Mark Kirkland,Michael Price,28,14,610,2.40,6.3,5.8,12
609,The Cad and the Hat,Bart ruins Lisa's perfect day out of jealousy and becomes haunted by the manifestation of his guilty conscious. Homer is revealed to be a master chess player which helps him bond with his competitive dad.    ,2017-02-19,WABF08,Steven Dean Moore,Ron Zimmerman,28,15,611,2.44,6.4,5.9,13
610,Kamp Krustier,"Bart and Lisa return home following a traumatic incident at Kamp Krusty, putting an end to Homer and Marge's sexual encounters.    ",2017-03-05,WABF09,Rob Oliver,David M. Stern,28,16,612,2.56,6.5,5.8,12
611,22 for 30,"A mocumentary about how Bart became a star basketball player at Springfield Elementary only to fall prey to fame, his own ego and the schemes of mobster Fat Tony.    ",2017-03-12,WABF10,Chris Clements,Joel H. Cohen,28,17,613,2.61,6.5,5.7,13
612,A Father's Watch,"As Homer and Marge try a different parenting style on the hellraising Bart, Grampa gives him a special watch that becomes Bart's moral center. But Bart loses it and tries everything to get it back.    ",2017-03-19,WABF11,Bob Anderson,Simon Rich,28,18,614,2.40,6.7,6.3,13
613,The Caper Chase,"Mr. Burns opens his own for-profit university, hiring the completely unqualified Homer as a professor, only to lose him to a mad scientist.    ",2017-04-02,WABF12,Lance Kramer,Jeff Westbrook,28,19,615,2.13,6.1,6.0,14
614,Looking for Mr. Goodbart,Bart bonds with Skinner's mother over their mutual dislike of Skinner and realizes that he could make a bundle by befriending other lonely and disgruntled grandmothers of Springfield for money.    ,2017-04-30,WABF13,Mike Frank Polcino,Carolyn Omine,28,20,616,2.30,6.8,6.3,15
615,Moho House,Mr. Burns makes a bet with his old friend that nothing can break Homer and Marge apart. But that's where Moe comes in.    ,2017-05-07,WABF14,Matthew Nastuk,Jeff Martin,28,21,617,2.34,6.1,5.8,13
616,Dogtown,"After a successful animal rights campaign, all dogs in Springfield are allowed to go where they want and do what they want. Pack mentality quickly kicks in and the dogs of Springfield assert their dominance by threatening the people.    ",2017-05-21,WABF15,Steven Dean Moore,J. Stewart Burns,28,22,618,2.15,6.4,5.7,10
617,The Serfsons,"In a medieval world, Lisa is forced to use illegal magic when Marge's mother is turned into an Ice Walker.    ",2017-10-01,WABF17,Rob Oliver,Brian Kelley,29,1,619,3.26,6.8,6.5,28
618,Springfield Splendor,"Lisa's sad experience is adapted into a graphic novel, which becomes a Broadway show.    ",2017-10-08,WABF22,Matthew Faughnan,Tim Long & Miranda Thompson,29,2,620,5.25,6.6,6.1,21
619,Whistler's Father,Homer launches Maggie's baby-celebrity career with her whistling talent; Marge is hired to style Fat Tony's brothel.    ,2017-10-15,WABF16,Matthew Faughnan,Tom Gammill & Max Pross,29,3,621,2.91,6.1,5.5,17
620,Treehouse of Horror XXVIII,Maggie gets possessed by a demon; Lisa discovers a creepy/perfect version of her family in an alternative universe; Homer cannibalizes himself.    ,2017-10-22,WABF18,Timothy Bailey,John Frink,29,4,622,3.66,7.1,5.8,16
621,Grampy Can Ya Hear Me,Grampa gets a hearing aid and finally hears what everyone has been saying about him.    ,2017-11-05,WABF19,Bob Anderson,Bill Odenkirk,29,5,623,2.86,6.4,5.7,15
622,The Old Blue Mayor She Ain't What She Used to Be,Marge runs for mayor and uses Homer as the butt of her jokes to gain public support.    ,2017-11-12,WABF20,Matthew Nastuk,Tom Gammill & Max Pross,29,6,624,4.75,6.3,5.2,15
623,Singin' in the Lane,Homer gets his old bowling team back together and they wind up competing with arrogant millionaires.    ,2017-11-19,WABF21,Mike Frank Polcino,Ryan Koh,29,7,625,2.67,6.4,5.4,14
624,Mr. Lisa's Opus,"In the future, Lisa writes a college application essay to Harvard and recalls disappointing past birthdays that helped shape her.    ",2017-12-03,XABF01,Steven Dean Moore,Al Jean,29,8,626,4.28,6.8,5.8,17
625,Gone Boy,"When Bart goes missing, the town puts together a search party to find him.    ",2017-12-10,XABF02,Rob Oliver,John Frink,29,9,627,6.06,7.2,6.8,15
626,Haw-Haw Land,Lisa falls for a crooning jazz pianist named Brendan; Bart discovers he has an affinity for chemistry.    ,2018-01-07,XABF03,Bob Anderson,Tim Long & Miranda Thompson,29,10,628,6.95,6.5,5.9,14
627,Frink Gets Testy,Mr. Burns builds a doomsday ark after he believes the world is ending; Professor Frink is tasked with determining who is worth saving.    ,2018-01-14,XABF04,Chris Clements,Dan Vebber,29,11,629,8.04,6.2,5.4,12
628,Homer Is Where the Art Isn't,Homer is accused of stealing a multimillion-dollar painting and only freelance insurance investigator Manacek can prove his innocence or guilt.    ,2018-03-18,XABF05,Timothy Bailey,Kevin Curran,29,12,630,2.10,6.7,6.5,13
629,3 Scenes Plus a Tag from a Marriage,Homer and Marge tell the story of how they went from loving life without kids to being miserable parents.    ,2018-03-25,XABF06,Matthew Nastuk,Tom Gammill & Max Pross,29,13,631,2.15,6.6,5.6,14
630,Fears of a Clown,Bart goes to prankster rehab after a clown-mask prank terrifies the town and ruins Krusty's career causing him to give up comedy and try serious drama.    ,2018-04-01,XABF08,Steven Dean Moore,Michael Price,29,14,632,2.06,6.0,5.6,13
631,No Good Read Goes Unpunished,Marge forces everyone to give up their electronics and go to the book store in an effort to bring the family together.    ,2018-04-08,XABF07,Mark Kirkland,Jeff Westbrook,29,15,633,2.15,6.3,5.1,13
632,King Leer,Homer and Marge attempt to reunite Moe with his troubled family.    ,2018-04-15,XABF10,Chris Clements,Daniel Furlong & Zach Posner,29,16,634,2.26,6.3,5.4,12
633,Lisa Gets the Blues,"The Simpsons' flight to Gainesville gets re-routed to New Orleans, where Lisa must regain her confidence as a jazz musician.    ",2018-04-22,XABF11,Bob Anderson,David Silverman & Brian Kelley,29,17,635,2.19,6.7,6.6,13
634,Forgive and Regret,"On his deathbed, Grampa makes a confession to Homer about the notes from Homer's mother that got lost when she left. This angers Homer to the point of refusing to reconcile with Abe after he miraculously recovers.    ",2018-04-29,XABF09,Rob Oliver,Bill Odenkirk,29,18,636,2.47,7.0,6.0,11
635,Left Behind,Homer gets Flanders a job at the power plant; Marge feels there's no spark left in their marriage.    ,2018-05-06,XABF12,Lance Kramer,Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink,29,19,637,2.15,6.6,5.4,10
636,Throw Grampa from the Dane,The Simpsons go to Denmark so Grampa can benefit from its free health-care system.    ,2018-05-13,XABF13,Mike Frank Polcino,Rob LaZebnik,29,20,638,2.14,6.7,5.4,11
637,Flanders' Ladder,"When Bart falls into a coma after he is struck by lightning, he is visited by ghosts seeking closure.    ",2018-05-20,XABF14,Matthew Nastuk,J. Stewart Burns,29,21,639,2.10,7.6,6.1,10
638,Bart's Not Dead,"Bart ends up in the hospital after taking a dare and lies about going to heaven to cover it up, but Homer takes a deal with Christian producers to make a movie about it.    ",2018-09-30,XABF19,Bob Anderson,Stephanie Gillis,30,1,640,3.24,6.3,5.6,22
639,Heartbreak Hotel,Marge and Homer travel to a tropical island and go on Marge's favorite reality competition program to win a million dollars.    ,2018-10-07,XABF15,Steven Dean Moore,Renee Ridgeley & Matt Selman,30,2,641,4.60,6.1,5.7,17
640,My Way or the Highway to Heaven,"While God and St. Peter discuss who will get into heaven, the citizens of Springfield recall divine encounters.    ",2018-10-14,XABF17,Rob Oliver,"Dan Castellaneta, Deb Lacusta & Vince Waldron",30,3,642,2.52,6.2,5.8,16
641,Treehouse of Horror XXIX,"Homer wins an oyster-eating contest against the mythical Cthulhu, Springfield is overrun by plant body-snatchers, Lisa finally snaps and Mr. Burns opens a retirement home with some Jurassic upgrades.    ",2018-10-21,XABF16,Matthew Faughnan,Joel H. Cohen,30,4,643,2.95,6.0,5.8,19
642,Baby You Can't Drive My Car,"A self-driving car company comes to Springfield, poaching all of the power plant employees with their fun work environment.    ",2018-11-04,XABF18,Timothy Bailey,Rob LaZebnik,30,5,644,5.08,7.0,6.2,16
643,From Russia Without Love,"Bart, Nelson and Milhouse get a mail-order bride for Moe as a hardcore prank.    ",2018-11-11,XABF20,Matthew Nastuk,Michael Ferris,30,6,645,2.35,6.5,6.4,15
644,Werking Mom,"In search of a job, Marge gets one selling plastic food storage containers - as a drag queen; Lisa tries to make the world better.    ",2018-11-18,XABF21,Mike Frank Polcino,Carolyn Omine & Robin Sayers,30,7,646,4.34,5.8,5.1,14
645,Krusty the Clown,"Krusty hides out at a circus after he nearly kills Homer, who becomes a TV recapper and gives him a bad grade.    ",2018-11-25,XABF22,Matthew Faughnan,Ryan Koh,30,8,647,2.11,6.5,6.2,16
646,Daddicus Finch,"Bart feels neglected when Homer and Lisa bond over To Kill a Mockingbird and start spending quality time together, so Marge attempts to help Homer balance attention between the kids.    ",2018-12-02,YABF01,Steven Dean Moore,Al Jean,30,9,648,4.33,6.8,6.1,14
647,'Tis the 30th Season,"Marge is determined to fix Christmas following a failed Black Friday shopping spree, but Homer and the kids surprise her with a vacation in Florida.    ",2018-12-09,YABF02,Lance Kramer,Story by : Jeff WestbrookTeleplay by : John Frink & Joel H. Cohen,30,10,649,7.53,6.7,5.9,12
648,Mad About the Toy,"Motivated by a PTSD episode Grampa had while babysitting the kids, the Simpsons take a journey to Grampa's past as a post-WW2 toy model for plastic army men, and Abe finally faces his on confused sexuality.    ",2019-01-06,YABF03,Rob Oliver,Michael Price,30,11,650,2.33,6.0,4.9,13
649,The Girl on the Bus,Lisa tries to live a double life when she makes a new friend and gets a taste of what it would be like to live with a more cultured family.    ,2019-01-13,YABF04,Chris Clements,Joel H. Cohen,30,12,651,8.20,6.5,5.6,14
650,I'm Dancing as Fat as I Can,"Homer tries to make amends for binging his and Marge's favorite show without her; Bart prepares for ""Krusty's Holiday Trample"".    ",2019-02-10,YABF06,Matthew Nastuk,Jane Becker,30,13,652,1.75,6.8,6.0,14
651,The Clown Stays in the Picture,"On Marc Maron's podcast, Krusty reveals the untold story of his past movie project, The Sands of Space. Hearing the podcast, Bart and Lisa learn their parents were production assistants on the movie in the early days of their relationship.    ",2019-02-17,YABF05,Timothy Bailey,Matt Selman,30,14,653,2.75,6.2,6.2,11
652,101 Mitigations,Homer steals Comic Book Guy's car and must either prove his innocence in court or reconcile with him.    ,2019-03-03,YABF07,Mark Kirkland,Story by : Rob LaZebnikTeleplay by : Brian Kelley & Dan Vebber,30,15,654,2.25,6.4,5.6,10
653,I Want You (She's So Heavy),"When a romantic night ends in injury for Homer and Marge, Lisa turns to an unlikely source to fix their strained relationship.    ",2019-03-10,YABF08,Steven Dean Moore,Jeff Westbrook,30,16,655,2.21,5.8,5.4,10
654,E My Sports,Homer discovers a passion for coaching Bart in video game competitions; Lisa's plan to bring Homer back to reality creates chaos.    ,2019-03-17,YABF09,Rob Oliver,Rob LaZebnik,30,17,656,2.08,6.4,6.6,10
655,Bart vs. Itchy & Scratchy,"Bart's friends start a boys rights activist group to protest Krusty's all-female reboot of Itchy and Scratchy. When they catch Bart enjoying it, they kick him out, so he joins Bossy Riot, a militant feminist gang of sixth-grade girls.    ",2019-03-24,YABF10,Chris Clements,Megan Amram,30,18,657,1.99,5.0,5.1,11
656,Girl's in the Band,Homer works extra shifts at the plant so Lisa can play in the Capitol City Youth Philharmonic.    ,2019-03-31,YABF11,Jennifer Moeller,Nancy Cartwright,30,19,658,2.07,6.4,6.5,10
657,I'm Just a Girl Who Can't Say D'oh,"Marge becomes Director of Springfield's local theater, armed with Lisa's script resembling ""Hamilton""; Homer joins a baby class with Maggie, and takes a liking to supervisor Chloe.    ",2019-04-07,YABF12,Mike Frank Polcino,Jeff Martin & Jenna Martin,30,20,659,1.61,5.6,6.1,11
658,D'oh Canada,Lisa is mistakenly given political asylum in Canada during a family trip to Niagara Falls.    ,2019-04-28,YABF14,Matthew Nastuk,Tim Long & Miranda Thompson,30,21,660,1.93,5.8,4.3,13
659,Woo-Hoo Dunnit?,"The documentary crime series ""Dateline: Springfield"" goes in-depth to solve the case of Lisa's missing college fund.    ",2019-05-05,YABF15,Steven Dean Moore,Brian Kelley,30,22,661,1.79,6.2,5.5,10
660,Crystal Blue-Haired Persuasion,"Marge starts a business selling healing crystals and other New Age products to the naive mothers of Springfield when Homer's job cuts children's health-care benefits, leading Marge to use the crystals as a cheaper solution for Bart's ADD.    ",2019-05-12,YABF16,Matthew Faughnan,Megan Amram,30,23,662,1.50,6.1,5.4,9
661,The Winter of Our Monetized Content,Bart and Homer become social media celebrities when a video of them fighting goes viral; Lisa fights the school's new industrialized detention system.    ,2019-09-29,YABF19,Bob Anderson,Ryan Koh,31,1,663,2.33,5.9,5.3,20
662,Go Big or Go Homer,"Homer inspires a 35-year-old millennial who idolizes him to start his own business, which leads the mob to chase both of them.    ",2019-10-06,YABF21,Matthew Faughnan,John Frink,31,2,664,5.63,6.0,5.3,12
663,The Fat Blue Line,"When the wrong man is arrested for pickpocketing Springfield during the San Castellaneta street festival, Chief Wiggum sets out to catch the real criminal.    ",2019-10-13,YABF22,Mike Frank Polcino,Bill Odenkirk,31,3,665,2.13,6.5,6.0,8
664,Treehouse of Horror XXX,"The 30th Treehouse of Horror features a demon Maggie, a mission to rescue Milhouse from another dimension, dead-Homer's spirit trying on some new bodies for size and Selma finally finding love in an unlikely place - the alien in the basement.    ",2019-10-20,YABF18,Timothy Bailey,J. Stewart Burns,31,4,666,5.42,6.8,5.5,10
665,Gorillas on the Mast,"After visiting Aquatraz Water Park, Lisa and Bart set out to free from captivity the most vicious animals in Springfield. Homer fulfills a lifelong dream and buys a boat, only to realize how much boat ownership sucks.    ",2019-11-03,YABF20,Matthew Nastuk,Max Cohn,31,5,667,2.02,6.2,4.6,9
666,Marge the Lumberjill,"Marge becomes a competitive lumberjack and goes on a month-long retreat to Portland with her trainer, whom Homer fears will take his wife away from him.    ",2019-11-10,ZABF02,Rob Oliver,Ryan Koh,31,6,668,5.00,5.6,5.4,10
667,Livin La Pura Vida,"The Simpsons join other Springfield families on the Van Houtens' annual trip to Costa Rica, where Homer befriends Patty's new girlfriend and Lisa discovers how the Van Houtens are able to afford this trip every year.    ",2019-11-17,ZABF03,Timothy Bailey,Brian Kelley,31,7,669,2.08,6.5,4.8,9
668,Thanksgiving of Horror,"The Simpsons face various Thanksgiving nightmares, including the first Thanksgiving, an A.I. mishap and a dangerous space mission complicated by a sentient cranberry sauce.    ",2019-11-24,YABF17,Rob Oliver,Dan Vebber,31,8,670,5.42,7.3,6.0,7
669,"Todd, Todd, Why Hast Thou Forsaken Me?","Todd blames God for his mother's death and rejects his faith, so Ned sends him to live with the Simpsons, hoping they can scare him into believing in God again.    ",2019-12-01,ZABF04,Chris Clements,Tim Long & Miranda Thompson,31,9,671,1.99,6.5,6.2,8
670,"Bobby, It's Cold Outside","Sideshow Bob gets the role of Santa Claus at Santa's Village amusement park. Meanwhile, someone is stealing all the Christmas packages off people's front porches.    ",2019-12-15,ZABF01,Steven Dean Moore,John Frink & Jeff Westbrook,31,10,672,4.97,6.5,4.6,8
671,Hail to the Teeth,Homer and Marge attend Artie Ziff's wedding and become quite uncomfortable when they realize that his bride-to-be is a clone of Marge.    ,2020-01-05,ZABF05,Mark Kirkland,Elisabeth Kiernan Averick,31,11,673,1.81,6.0,4.4,9
